"contents href","_image_yazkc_11 src","_image_yazkc_11 src 2","whitespace-normal","font-medium 2","flex-none src","flex-none","truncate","pointer-events-none src","text-sp10","ml-[3px]","875rem] href","mr-0 src","h-4","w-auto src"
"https://shopee.co.id/TEES-ADIDAS-TRF-i.159884593.2459764167?extraParams=%7B%22display_model_id%22%3A5172926361%2C%22model_selection_logic%22%3A3%7D&sp_atk=1ad7c137-8347-427c-93b4-1caa931ebfef&xptdk=1ad7c137-8347-427c-93b4-1caa931ebfef","https://down-id.img.susercontent.com/file/48f7fa8f05a3fa9768e5f43774a200f3","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f","TEES ADIDAS TRF","150.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","66 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/38e203dc86172a6c6560.svg","< 2 Hari","Bandung","https://shopee.co.id/find_similar_products?catid=100011&itemid=2459764167&shopid=159884593","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/a425c915798471b33e5d.png","-40%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/0614b8f0a8fdde22942d.svg"
"https://shopee.co.id/Ts-ads-3foil-red-white-i.112733758.29621168274?extraParams=%7B%22display_model_id%22%3A242292568351%2C%22model_selection_logic%22%3A3%7D&sp_atk=0e7fb8f9-f3d0-44b9-823b-1c8eb85be359&xptdk=0e7fb8f9-f3d0-44b9-823b-1c8eb85be359","https://down-id.img.susercontent.com/file/id-11134207-7rasd-m3zdpyqn0pt66a","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f","Ts ads 3foil red white","68.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","163 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/38e203dc86172a6c6560.svg","< 2 Hari","Kab. Bandung Barat","https://shopee.co.id/find_similar_products?catid=100011&itemid=29621168274&shopid=112733758","","-39%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/0614b8f0a8fdde22942d.svg"
"https://shopee.co.id/JAKET-SWEATER-HOODIE-ADIDAS-BEST-SELLER-PRIA-WANITA-FULL-TAG-LABEL-TERLARIS-i.607229057.44473315411?extraParams=%7B%22display_model_id%22%3A244003495532%2C%22model_selection_logic%22%3A3%7D&sp_atk=c28126c9-0118-4b87-a348-caa9fedc83ea&xptdk=c28126c9-0118-4b87-a348-caa9fedc83ea","https://down-id.img.susercontent.com/file/id-11134207-81ztg-mfm6m7xsobgv80","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f","JAKET SWEATER HOODIE ADIDAS BEST SELLER PRIA WANITA FULL TAG LABEL TERLARIS","170.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.4","43 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-5 Hari","Kab. Bandung Barat","https://shopee.co.id/find_similar_products?catid=100011&itemid=44473315411&shopid=607229057","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/a425c915798471b33e5d.png","-72%",""
"https://shopee.co.id/Adidas-Vintage-Short-Sleeves-T-Shirt-in-Black-White-i.141603763.29762479253?extraParams=%7B%22display_model_id%22%3A147479791875%2C%22model_selection_logic%22%3A3%7D&sp_atk=159e5644-7318-43f7-934c-1a603b910a3c&xptdk=159e5644-7318-43f7-934c-1a603b910a3c","https://down-id.img.susercontent.com/file/id-11134207-7rasl-m0mv7cls691j9b","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","Adidas Vintage Short Sleeves T Shirt in Black & White","129.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","6 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/38e203dc86172a6c6560.svg","< 2 Hari","Kab. Sleman","https://shopee.co.id/find_similar_products?catid=100011&itemid=29762479253&shopid=141603763","","-77%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/0614b8f0a8fdde22942d.svg"
"https://shopee.co.id/Jaket-Adidas-Tracktop-Firebird-pria-Black-Stripe-White-Polyster-i.107770783.4105203560?extraParams=%7B%22display_model_id%22%3A142490585259%2C%22model_selection_logic%22%3A2%7D&sp_atk=18234ce3-9cb6-4f79-b78d-47f8d9a5c363&xptdk=18234ce3-9cb6-4f79-b78d-47f8d9a5c363","https://down-id.img.susercontent.com/file/a09d84fb202bfb542f55de31ff4e8a6d","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","Jaket Adidas Tracktop Firebird pria - Black Stripe White Polyster","75.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.5","174 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/38e203dc86172a6c6560.svg","< 2 Hari","Kab. Bandung","https://shopee.co.id/find_similar_products?catid=100011&itemid=4105203560&shopid=107770783","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/0614b8f0a8fdde22942d.svg"
"https://shopee.co.id/Kaos-Pria-adiddas-ringer-tee-strip-original-bnwt-i.1819024620.49860503629?extraParams=%7B%22display_model_id%22%3A277616455443%2C%22model_selection_logic%22%3A3%7D&sp_atk=9c73ae52-4ca5-431d-b753-7788c47ec87a&xptdk=9c73ae52-4ca5-431d-b753-7788c47ec87a","https://down-id.img.susercontent.com/file/id-11134207-822wu-mo7vfkhg8jd0c1","","Kaos Pria adiddas ringer tee strip original bnwt","355.000","","","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","7-10 Hari","Kab. Kampar","https://shopee.co.id/find_similar_products?catid=100011&itemid=49860503629&shopid=1819024620","","",""
"https://shopee.co.id/TRACKTOP-ADIDAS-X-REAL-MADRID-JAKET-TRACKTOP-i.145507715.53654051409?extraParams=%7B%22display_model_id%22%3A297305589906%2C%22model_selection_logic%22%3A3%7D&sp_atk=92d501cf-1257-450f-94d1-2ca3afbe2071&xptdk=92d501cf-1257-450f-94d1-2ca3afbe2071","https://down-id.img.susercontent.com/file/id-11134207-8224u-mj06bauueuiq47","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","TRACKTOP ADIDAS X REAL MADRID JAKET TRACKTOP","135.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","95 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4 Hari","Kab. Bandung Barat","https://shopee.co.id/find_similar_products?catid=100011&itemid=53654051409&shopid=145507715","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/a425c915798471b33e5d.png",">90% off",""
"https://shopee.co.id/Long-Sleeve-Adidas-Retro-California-Green-Fuji-i.41880661.13809239046?extraParams=%7B%22display_model_id%22%3A112427460680%2C%22model_selection_logic%22%3A3%7D&sp_atk=2dced97f-36fa-49bc-86a1-9f64342e478c&xptdk=2dced97f-36fa-49bc-86a1-9f64342e478c","https://down-id.img.susercontent.com/file/1fc5722f88b7fa4bbed8cb48ca1cb48b","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","Long Sleeve Adidas Retro California Green Fuji","120.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.8","381 Terjual","","","Cimahi","https://shopee.co.id/find_similar_products?catid=100011&itemid=13809239046&shopid=41880661","","",""
"https://shopee.co.id/Jaket-Adidas-Tracktop-Firebird-pria-Hitam-Strep-putih-FLECE-i.154727807.6705492527?extraParams=%7B%22display_model_id%22%3A250630788833%2C%22model_selection_logic%22%3A3%7D&sp_atk=f0c18f0c-1fd3-4b75-8ef5-d2305b3cea91&xptdk=f0c18f0c-1fd3-4b75-8ef5-d2305b3cea91","https://down-id.img.susercontent.com/file/113137956f033d9c836f3c0b3f12ee03","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","Jaket Adidas Tracktop Firebird pria - Hitam Strep putih FLECE","61.999","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.5","557 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/38e203dc86172a6c6560.svg","< 2 Hari","Kab. Bandung","https://shopee.co.id/find_similar_products?catid=100011&itemid=6705492527&shopid=154727807","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/e4734dab67ee2f9ebd5a.png","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/0614b8f0a8fdde22942d.svg"
"https://shopee.co.id/Jaket-Sweater-Hoodie-Adidas-Trefoil-i.102125476.21541560557?extraParams=%7B%22display_model_id%22%3A107360630928%2C%22model_selection_logic%22%3A3%7D&sp_atk=7cc70ae9-5118-46d8-a2ff-d91fdd004ffa&xptdk=7cc70ae9-5118-46d8-a2ff-d91fdd004ffa","https://down-id.img.susercontent.com/file/d941e9bca5f0522e4670cb8dac85eb8a","https://down-id.img.susercontent.com/file/id-11134258-8224v-mkvw0cu9r7k1a5","Jaket Sweater Hoodie Adidas Trefoil","135.000","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.7","186 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4 Hari","Kab. Bandung Barat","https://shopee.co.id/find_similar_products?catid=100011&itemid=21541560557&shopid=102125476","","-10%",""
