"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Football-Arsenal-25-26-Home-Jersey-Unisex-Red-JI9533-i.270510657.54002862333?extraParams=%7B%22display_model_id%22%3A272243073925%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822x5-mi2txw74axhgbb","adidas Football Arsenal 25/26 Home Jersey Unisex Red JI9533","760.000","5.0","Pilih 2, diskon 15%","-20%","12 terjual"
"https://shopee.co.id/adidas-Football-Real-Madrid-24-25-Away-Jersey-Men-Orange-IU5013-i.270510657.40150805477?extraParams=%7B%22display_model_id%22%3A208517495934%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk2-maupva77135038","adidas Football Real Madrid 24/25 Away Jersey Men Orange IU5013","780.000","5.0","Pilih 2, diskon 15%","-35%","247 terjual"
"https://shopee.co.id/adidas-Football-Real-Madrid-25-26-Home-Shorts-Unisex-White-JN8878-i.270510657.40115251965?extraParams=%7B%22display_model_id%22%3A276260401923%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824j4-mdwq0fqbrf2985","adidas Football Real Madrid 25/26 Home Shorts Unisex White JN8878","440.000","5.0","Pilih 2, diskon 15%","-20%","16 terjual"
"https://shopee.co.id/adidas-Football-Universadi-Ball-Unisex-White-IW3729-i.270510657.40865243247?extraParams=%7B%22display_model_id%22%3A291260078314%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82625-mmid8q8agufcc9","adidas Football Universadi Ball Unisex White IW3729","200.000","5.0","28 terjual","",""
"https://shopee.co.id/adidas-Football-Real-Madrid-24-25-Away-Authentic-Jersey-Men-Orange-IZ1642-i.270510657.40700789942?extraParams=%7B%22display_model_id%22%3A285062893498%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk7-maupr9i360im83","adidas Football Real Madrid 24/25 Away Authentic Jersey Men Orange IZ1642","1.000.000","4.9","Pilih 2, diskon 15%","-50%","56 terjual"
"https://shopee.co.id/adidas-Football-Copa-Pure-3-League-Firm-Multi-Ground-Boots-Kids-Unisex-White-JR2886-i.270510657.41615266417?extraParams=%7B%22display_model_id%22%3A261262025159%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824gh-mdwuddoya32c3b","adidas Football Copa Pure 3 League Firm/Multi-Ground Boots Kids Unisex White JR2886","520.000","5.0","Pilih 2, diskon 15%","-35%","19 terjual"
"https://shopee.co.id/adidas-Football-Liverpool-FC-25-26-Third-Jersey-Men-Green-JV6428-i.270510657.45301734528?extraParams=%7B%22display_model_id%22%3A272174392551%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821ec-mh8wmc2e0xl433","adidas Football Liverpool FC 25/26 Third Jersey Men Green JV6428","960.000","5.0","Pilih 2, diskon 15%","-20%","20 terjual"
"https://shopee.co.id/adidas-Football-Super-Sala-Competition-3-Indoor-Boots-Unisex-White-JR5399-i.270510657.42565248775?extraParams=%7B%22display_model_id%22%3A276260699449%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824h9-mdwrib35qdj4fe","adidas Football Super Sala Competition 3 Indoor Boots Unisex White JR5399","810.000","5.0","Pilih 2, diskon 15%","-10%","9 terjual"
"https://shopee.co.id/adidas-Football-FIFA-World-Cup-26%E2%84%A2-Trionda-Club-Ball-Unisex-White-JD8028-i.270510657.40922720402?extraParams=%7B%22display_model_id%22%3A271845470596%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8257t-mg5zva6ko5xm43","adidas Football FIFA World Cup 26™ Trionda Club Ball Unisex White JD8028","350.000","4.9","63 terjual","",""
"https://shopee.co.id/adidas-Football-F50-League-Turf-Boots-Unisex-Orange-JH7723-i.270510657.44067399678?extraParams=%7B%22display_model_id%22%3A243856052862%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824i0-me84eaphxy4k3f","adidas Football F50 League Turf Boots Unisex Orange JH7723","910.000","5.0","Pilih 2, diskon 15%","-35%","7 terjual"
"https://shopee.co.id/adidas-Football-Predator-Club-Indoor-Sala-Boots-Unisex-Orange-JH8856-i.270510657.29441100248?extraParams=%7B%22display_model_id%22%3A291434936688%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824j3-me84eqkq2eiocf","adidas Football Predator Club Indoor Sala Boots Unisex Orange JH8856","585.000","5.0","Pilih 2, diskon 15%","-35%","6 terjual"
"https://shopee.co.id/adidas-Football-Copa-Pure-3-Club-Firm-Multi-Ground-Boots-Unisex-Black-JR2896-i.270510657.41215252041?extraParams=%7B%22display_model_id%22%3A159263839989%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824hn-mdwq1hg5d1xgb7","adidas Football Copa Pure 3 Club Firm/Multi-Ground Boots Unisex Black JR2896","720.000","4.8","Pilih 2, diskon 15%","-10%","72 terjual"
"https://shopee.co.id/adidas-Football-F50-League-Firm-Multi-Ground-Boots-Unisex-Purple-JI0003-i.270510657.40765252314?extraParams=%7B%22display_model_id%22%3A271260424520%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824ia-mdwq5bah70n804","adidas Football F50 League Firm/Multi-Ground Boots Unisex Purple JI0003","1.260.000","5.0","Pilih 2, diskon 15%","-10%","148 terjual"
"https://shopee.co.id/adidas-Football-Squadra-25-Jersey-Men-Black-JG5832-i.270510657.40651183267?extraParams=%7B%22display_model_id%22%3A280094964637%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk5-mauprjtboqftf6","adidas Football Squadra 25 Jersey Men Black JG5832","350.000","5.0","156 terjual","",""
"https://shopee.co.id/adidas-Football-Squadra-25-Shorts-Men-Black-JH3402-i.270510657.42651197376?extraParams=%7B%22display_model_id%22%3A295096260760%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbke-maupa25l47qc5f","adidas Football Squadra 25 Shorts Men Black JH3402","350.000","5.0","6 terjual","",""
