"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Lifestyle-4ATHLTS-Camper-Backpack-Unisex-Blue-IL5747-i.270510657.28518085848?extraParams=%7B%22display_model_id%22%3A59488958022%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbkc-mauqnqj234tg42","adidas Lifestyle 4ATHLTS Camper Backpack Unisex Blue IL5747","640.000","5.0","Pilih 2, diskon 15%","-20%","152 terjual"
"https://shopee.co.id/adidas-Lifestyle-adidas-Classic-Tape-Backpack-Unisex-Burgundy-KE5636-i.270510657.57902611686?extraParams=%7B%22display_model_id%22%3A249110180165%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8227t-mhv508xwa5ts3f","adidas Lifestyle adidas Classic Tape Backpack Unisex Burgundy KE5636","600.000","5.0","52 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Gym-Training-Tech-3-Panel-Climaproof-Cap-Unisex-Black-JE5654-i.270510657.43701192871?extraParams=%7B%22display_model_id%22%3A260096863332%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8261r-mjz2w37tgzd439","adidas Lifestyle & Gym & Training Tech 3-Panel Climaproof Cap Unisex Black JE5654","440.000","5.0","Pilih 2, diskon 15%","-20%","80 terjual"
"https://shopee.co.id/adidas-Motorsport-Mercedes-AMG-Petronas-Formula-One-Team-George-Russell-Cap-Unisex-Blue-JZ2570-i.270510657.41922746582?extraParams=%7B%22display_model_id%22%3A301847267721%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824ip-mfdhb5pwi0pa3a","adidas Motorsport Mercedes - AMG Petronas Formula One Team George Russell Cap Unisex Blue JZ2570","672.000","4.9","Pilih 2, diskon 15%","-20%","39 terjual"
"https://shopee.co.id/adidas-Hiking-Terrex-Multi-Sling-Bag-Unisex-Green-KC5010-i.270510657.44653212350?extraParams=%7B%22display_model_id%22%3A385307285126%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822y5-mica1g7iqm0ye2","adidas Hiking Terrex Multi Sling Bag Unisex Green KC5010","500.000","5.0","8 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-New-Logo-Baseball-Cap-Unisex-White-JP0392-i.270510657.42915251499?extraParams=%7B%22display_model_id%22%3A248800215784%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824ih-mdwpeo26s0ld91","adidas Lifestyle New Logo Baseball Cap Unisex White JP0392","350.000","5.0","18 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Linear-Backpack-Unisex-Black-JD9556-i.270510657.42501173778?extraParams=%7B%22display_model_id%22%3A280094928672%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8258z-mgfv8ncfu49800","adidas Lifestyle Linear Backpack Unisex Black JD9556","450.000","5.0","194 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Linear-Bum-Bag-Unisex-Black-JE8345-i.270510657.44301187802?extraParams=%7B%22display_model_id%22%3A290094937976%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdw0-mcp7diro8t8g67","adidas Lifestyle Linear Bum Bag Unisex Black JE8345","300.000","4.9","925 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Mid-Ankle-Socks-6-Pairs-Unisex-White-IJ5628-i.270510657.28618095557?extraParams=%7B%22display_model_id%22%3A257062856093%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7ra3r-mbi1btnjhywlde","adidas Lifestyle Mid Ankle Socks 6 Pairs Unisex White IJ5628","400.000","5.0","94 terjual","",""
"https://shopee.co.id/adidas-Gym-Training-Lifestyle-Essentials-3-Stripes-Backpack-Unisex-Green-IZ1909-i.270510657.26686670557?extraParams=%7B%22display_model_id%22%3A275096147767%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8258m-mgft85w4xamkd8","adidas Gym & Training & Lifestyle Essentials 3-Stripes Backpack Unisex Green IZ1909","330.000","5.0","Pilih 2, diskon 15%","-40%","471 terjual"
