"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","truncate","inline-block","truncate 2","_image_yazkc_11 src 4"
"https://shopee.co.id/adidas-Football-Copa-Pure-3-League-Firm-Multi-Ground-Boots-Kids-Unisex-White-JR2886-i.270510657.41615266417?extraParams=%7B%22display_model_id%22%3A261262025159%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824gh-mdwuddoya32c3b","adidas Football Copa Pure 3 League Firm/Multi-Ground Boots Kids Unisex White JR2886","560.000","-30%","Pilih 2, diskon 15%","5.0","20 terjual",""
"https://shopee.co.id/adidas-Lifestyle-Breaknet-3.0-Shoes-Kids-Unisex-White-JS3688-i.270510657.40565320187?extraParams=%7B%22display_model_id%22%3A301265044597%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824ie-mdx4f7rbq61322","adidas Lifestyle Breaknet 3.0 Shoes Kids Unisex White JS3688","550.000","","","4.7","67 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Football-Manchester-United-25-26-Away-Jersey-Unisex-White-JP3030-i.270510657.42315296230?extraParams=%7B%22display_model_id%22%3A206227357141%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824i1-mdx11ll588w05c","adidas Football Manchester United 25/26 Away Jersey Unisex White JP3030","760.000","-20%","Pilih 2, diskon 15%","5.0","6 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Linear-Ankle-Socks-5-Pairs-Kids-Unisex-Blue-JF8542-i.270510657.40201182909?extraParams=%7B%22display_model_id%22%3A305094912293%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821fo-mh9ptb4smd5b11","adidas Lifestyle Linear Ankle Socks 5 Pairs Kids Unisex Blue JF8542","210.000","-30%","Pilih 2, diskon 15%","5.0","23 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Swimming-Lifestyle-Adilette-Aqua-Slides-Kids-Unisex-Black-F35556-i.270510657.24638525457?extraParams=%7B%22display_model_id%22%3A185568683585%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8261i-mk35m2w512is50","adidas Swimming & Lifestyle Adilette Aqua Slides Kids Unisex Black F35556","380.000","","","5.0","604 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Lightblaze-Shoes-Kids-Unisex-White-JQ4758-i.270510657.41167023325?extraParams=%7B%22display_model_id%22%3A253846797844%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824hn-me4yvb8c426bc3","adidas Lifestyle Lightblaze Shoes Kids Unisex White JQ4758","810.000","-10%","Pilih 2, diskon 15%","4.9 Penilaian Toko","","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Campus-Vulc-Shoes-Kids-Unisex-Grey-IH8039-i.270510657.43451197417?extraParams=%7B%22display_model_id%22%3A109502048447%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk9-maup3emtmjec95","adidas Lifestyle Campus Vulc Shoes Kids Unisex Grey IH8039","600.000","-40%","Pilih 2, diskon 15%","5.0","33 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Adifom-Adilette-Slides-Kids-Unisex-Black-IG8167-i.270510657.42350800521?extraParams=%7B%22display_model_id%22%3A265063497920%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk6-maupcu2nbs0pc1","adidas Lifestyle Adifom Adilette Slides Kids Unisex Black IG8167","490.000","-30%","Pilih 2, diskon 15%","5.0","435 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Food-Graphic-Tee-Kids-Unisex-Green-JV5250-i.270510657.26840530365?extraParams=%7B%22display_model_id%22%3A276261573955%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825bc-mgecjpa5zcp5bf","adidas Lifestyle Food Graphic Tee Kids Unisex Green JV5250","280.000","-30%","Pilih 2, diskon 15%","5.0","58 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Summerflex-Shoes-Kids-Unisex-Grey-IH8730-i.270510657.44404447157?extraParams=%7B%22display_model_id%22%3A290376016715%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8261q-mjq9ppc2sfls96","adidas Lifestyle Summerflex Shoes Kids Unisex Grey IH8730","765.000","-10%","Pilih 2, diskon 15%","4.9","80 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
